[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
====== dec-tree (apache-spark) [default], iteration 112 started ======
====== dec-tree (apache-spark) [default], iteration 112 completed (1007.364 ms) ======
====== dec-tree (apache-spark) [default], iteration 113 started ======
====== dec-tree (apache-spark) [default], iteration 113 completed (789.972 ms) ======
====== dec-tree (apache-spark) [default], iteration 114 started ======
====== dec-tree (apache-spark) [default], iteration 114 completed (853.034 ms) ======
====== dec-tree (apache-spark) [default], iteration 115 started ======
====== dec-tree (apache-spark) [default], iteration 115 completed (793.933 ms) ======
====== dec-tree (apache-spark) [default], iteration 116 started ======
====== dec-tree (apache-spark) [default], iteration 116 completed (810.488 ms) ======
====== dec-tree (apache-spark) [default], iteration 117 started ======
====== dec-tree (apache-spark) [default], iteration 117 completed (836.594 ms) ======
====== dec-tree (apache-spark) [default], iteration 118 started ======
====== dec-tree (apache-spark) [default], iteration 118 completed (806.445 ms) ======
====== dec-tree (apache-spark) [default], iteration 119 started ======
====== dec-tree (apache-spark) [default], iteration 119 completed (1014.387 ms) ======
====== dec-tree (apache-spark) [default], iteration 120 started ======
====== dec-tree (apache-spark) [default], iteration 120 completed (828.321 ms) ======
====== dec-tree (apache-spark) [default], iteration 121 started ======
====== dec-tree (apache-spark) [default], iteration 121 completed (799.455 ms) ======
====== dec-tree (apache-spark) [default], iteration 122 started ======
====== dec-tree (apache-spark) [default], iteration 122 completed (811.374 ms) ======
====== dec-tree (apache-spark) [default], iteration 123 started ======
====== dec-tree (apache-spark) [default], iteration 123 completed (799.408 ms) ======
====== dec-tree (apache-spark) [default], iteration 124 started ======
====== dec-tree (apache-spark) [default], iteration 124 completed (799.821 ms) ======
====== dec-tree (apache-spark) [default], iteration 125 started ======
====== dec-tree (apache-spark) [default], iteration 125 completed (783.709 ms) ======
====== dec-tree (apache-spark) [default], iteration 126 started ======
====== dec-tree (apache-spark) [default], iteration 126 completed (889.962 ms) ======
====== dec-tree (apache-spark) [default], iteration 127 started ======
====== dec-tree (apache-spark) [default], iteration 127 completed (959.011 ms) ======
====== dec-tree (apache-spark) [default], iteration 128 started ======
====== dec-tree (apache-spark) [default], iteration 128 completed (842.794 ms) ======
====== dec-tree (apache-spark) [default], iteration 129 started ======
====== dec-tree (apache-spark) [default], iteration 129 completed (796.518 ms) ======
====== dec-tree (apache-spark) [default], iteration 130 started ======
====== dec-tree (apache-spark) [default], iteration 130 completed (789.693 ms) ======
====== dec-tree (apache-spark) [default], iteration 131 started ======
====== dec-tree (apache-spark) [default], iteration 131 completed (790.266 ms) ======
====== dec-tree (apache-spark) [default], iteration 132 started ======
====== dec-tree (apache-spark) [default], iteration 132 completed (800.832 ms) ======
====== dec-tree (apache-spark) [default], iteration 133 started ======
====== dec-tree (apache-spark) [default], iteration 133 completed (824.420 ms) ======
====== dec-tree (apache-spark) [default], iteration 134 started ======
====== dec-tree (apache-spark) [default], iteration 134 completed (959.020 ms) ======
====== dec-tree (apache-spark) [default], iteration 135 started ======
====== dec-tree (apache-spark) [default], iteration 135 completed (805.908 ms) ======
====== dec-tree (apache-spark) [default], iteration 136 started ======
====== dec-tree (apache-spark) [default], iteration 136 completed (802.446 ms) ======
====== dec-tree (apache-spark) [default], iteration 137 started ======
====== dec-tree (apache-spark) [default], iteration 137 completed (802.752 ms) ======
====== dec-tree (apache-spark) [default], iteration 138 started ======
====== dec-tree (apache-spark) [default], iteration 138 completed (798.952 ms) ======
====== dec-tree (apache-spark) [default], iteration 139 started ======
====== dec-tree (apache-spark) [default], iteration 139 completed (800.118 ms) ======
====== dec-tree (apache-spark) [default], iteration 140 started ======
====== dec-tree (apache-spark) [default], iteration 140 completed (809.637 ms) ======
====== dec-tree (apache-spark) [default], iteration 141 started ======
====== dec-tree (apache-spark) [default], iteration 141 completed (1100.033 ms) ======
====== dec-tree (apache-spark) [default], iteration 142 started ======
====== dec-tree (apache-spark) [default], iteration 142 completed (806.628 ms) ======
====== dec-tree (apache-spark) [default], iteration 143 started ======
====== dec-tree (apache-spark) [default], iteration 143 completed (779.589 ms) ======
====== dec-tree (apache-spark) [default], iteration 144 started ======
====== dec-tree (apache-spark) [default], iteration 144 completed (784.542 ms) ======
====== dec-tree (apache-spark) [default], iteration 145 started ======
====== dec-tree (apache-spark) [default], iteration 145 completed (809.560 ms) ======
====== dec-tree (apache-spark) [default], iteration 146 started ======
====== dec-tree (apache-spark) [default], iteration 146 completed (821.646 ms) ======
====== dec-tree (apache-spark) [default], iteration 147 started ======
====== dec-tree (apache-spark) [default], iteration 147 completed (926.992 ms) ======
====== dec-tree (apache-spark) [default], iteration 148 started ======
====== dec-tree (apache-spark) [default], iteration 148 completed (900.674 ms) ======
====== dec-tree (apache-spark) [default], iteration 149 started ======
====== dec-tree (apache-spark) [default], iteration 149 completed (813.623 ms) ======
====== dec-tree (apache-spark) [default], iteration 150 started ======
====== dec-tree (apache-spark) [default], iteration 150 completed (788.873 ms) ======
====== dec-tree (apache-spark) [default], iteration 151 started ======
====== dec-tree (apache-spark) [default], iteration 151 completed (775.685 ms) ======
====== dec-tree (apache-spark) [default], iteration 152 started ======
====== dec-tree (apache-spark) [default], iteration 152 completed (787.552 ms) ======
====== dec-tree (apache-spark) [default], iteration 153 started ======
====== dec-tree (apache-spark) [default], iteration 153 completed (806.919 ms) ======
====== dec-tree (apache-spark) [default], iteration 154 started ======
====== dec-tree (apache-spark) [default], iteration 154 completed (936.068 ms) ======
====== dec-tree (apache-spark) [default], iteration 155 started ======
====== dec-tree (apache-spark) [default], iteration 155 completed (810.533 ms) ======
====== dec-tree (apache-spark) [default], iteration 156 started ======
====== dec-tree (apache-spark) [default], iteration 156 completed (776.740 ms) ======
====== dec-tree (apache-spark) [default], iteration 157 started ======
====== dec-tree (apache-spark) [default], iteration 157 completed (795.362 ms) ======
====== dec-tree (apache-spark) [default], iteration 158 started ======
====== dec-tree (apache-spark) [default], iteration 158 completed (827.945 ms) ======
====== dec-tree (apache-spark) [default], iteration 159 started ======
====== dec-tree (apache-spark) [default], iteration 159 completed (811.172 ms) ======
====== dec-tree (apache-spark) [default], iteration 160 started ======
====== dec-tree (apache-spark) [default], iteration 160 completed (814.204 ms) ======
====== dec-tree (apache-spark) [default], iteration 161 started ======
====== dec-tree (apache-spark) [default], iteration 161 completed (926.765 ms) ======
====== dec-tree (apache-spark) [default], iteration 162 started ======
====== dec-tree (apache-spark) [default], iteration 162 completed (932.622 ms) ======
====== dec-tree (apache-spark) [default], iteration 163 started ======
====== dec-tree (apache-spark) [default], iteration 163 completed (796.938 ms) ======
====== dec-tree (apache-spark) [default], iteration 164 started ======
====== dec-tree (apache-spark) [default], iteration 164 completed (794.483 ms) ======
====== dec-tree (apache-spark) [default], iteration 165 started ======
====== dec-tree (apache-spark) [default], iteration 165 completed (797.076 ms) ======
====== dec-tree (apache-spark) [default], iteration 166 started ======
====== dec-tree (apache-spark) [default], iteration 166 completed (819.831 ms) ======
====== dec-tree (apache-spark) [default], iteration 167 started ======
====== dec-tree (apache-spark) [default], iteration 167 completed (785.713 ms) ======
====== dec-tree (apache-spark) [default], iteration 168 started ======
====== dec-tree (apache-spark) [default], iteration 168 completed (878.841 ms) ======
====== dec-tree (apache-spark) [default], iteration 169 started ======
====== dec-tree (apache-spark) [default], iteration 169 completed (929.262 ms) ======
====== dec-tree (apache-spark) [default], iteration 170 started ======
====== dec-tree (apache-spark) [default], iteration 170 completed (800.403 ms) ======
====== dec-tree (apache-spark) [default], iteration 171 started ======
====== dec-tree (apache-spark) [default], iteration 171 completed (796.828 ms) ======
====== dec-tree (apache-spark) [default], iteration 172 started ======
====== dec-tree (apache-spark) [default], iteration 172 completed (771.929 ms) ======
====== dec-tree (apache-spark) [default], iteration 173 started ======
====== dec-tree (apache-spark) [default], iteration 173 completed (802.433 ms) ======
====== dec-tree (apache-spark) [default], iteration 174 started ======
====== dec-tree (apache-spark) [default], iteration 174 completed (776.420 ms) ======
====== dec-tree (apache-spark) [default], iteration 175 started ======
====== dec-tree (apache-spark) [default], iteration 175 completed (818.605 ms) ======
====== dec-tree (apache-spark) [default], iteration 176 started ======
====== dec-tree (apache-spark) [default], iteration 176 completed (1385.153 ms) ======
====== dec-tree (apache-spark) [default], iteration 177 started ======
====== dec-tree (apache-spark) [default], iteration 177 completed (1798.873 ms) ======
====== dec-tree (apache-spark) [default], iteration 178 started ======
====== dec-tree (apache-spark) [default], iteration 178 completed (1990.571 ms) ======
====== dec-tree (apache-spark) [default], iteration 179 started ======
====== dec-tree (apache-spark) [default], iteration 179 completed (1896.830 ms) ======
====== dec-tree (apache-spark) [default], iteration 180 started ======
====== dec-tree (apache-spark) [default], iteration 180 completed (799.721 ms) ======
====== dec-tree (apache-spark) [default], iteration 181 started ======
====== dec-tree (apache-spark) [default], iteration 181 completed (766.631 ms) ======
====== dec-tree (apache-spark) [default], iteration 182 started ======
====== dec-tree (apache-spark) [default], iteration 182 completed (807.226 ms) ======
====== dec-tree (apache-spark) [default], iteration 183 started ======
====== dec-tree (apache-spark) [default], iteration 183 completed (798.240 ms) ======
====== dec-tree (apache-spark) [default], iteration 184 started ======
====== dec-tree (apache-spark) [default], iteration 184 completed (791.641 ms) ======
====== dec-tree (apache-spark) [default], iteration 185 started ======
====== dec-tree (apache-spark) [default], iteration 185 completed (848.423 ms) ======
====== dec-tree (apache-spark) [default], iteration 186 started ======
====== dec-tree (apache-spark) [default], iteration 186 completed (773.197 ms) ======
====== dec-tree (apache-spark) [default], iteration 187 started ======
====== dec-tree (apache-spark) [default], iteration 187 completed (784.986 ms) ======
====== dec-tree (apache-spark) [default], iteration 188 started ======
====== dec-tree (apache-spark) [default], iteration 188 completed (878.469 ms) ======
====== dec-tree (apache-spark) [default], iteration 189 started ======
====== dec-tree (apache-spark) [default], iteration 189 completed (790.299 ms) ======
====== dec-tree (apache-spark) [default], iteration 190 started ======
====== dec-tree (apache-spark) [default], iteration 190 completed (792.874 ms) ======
====== dec-tree (apache-spark) [default], iteration 191 started ======
====== dec-tree (apache-spark) [default], iteration 191 completed (806.513 ms) ======
====== dec-tree (apache-spark) [default], iteration 192 started ======
====== dec-tree (apache-spark) [default], iteration 192 completed (786.313 ms) ======
====== dec-tree (apache-spark) [default], iteration 193 started ======
====== dec-tree (apache-spark) [default], iteration 193 completed (841.740 ms) ======
====== dec-tree (apache-spark) [default], iteration 194 started ======
====== dec-tree (apache-spark) [default], iteration 194 completed (938.525 ms) ======
====== dec-tree (apache-spark) [default], iteration 195 started ======
====== dec-tree (apache-spark) [default], iteration 195 completed (844.679 ms) ======
====== dec-tree (apache-spark) [default], iteration 196 started ======
====== dec-tree (apache-spark) [default], iteration 196 completed (768.605 ms) ======
====== dec-tree (apache-spark) [default], iteration 197 started ======
====== dec-tree (apache-spark) [default], iteration 197 completed (765.766 ms) ======
====== dec-tree (apache-spark) [default], iteration 198 started ======
====== dec-tree (apache-spark) [default], iteration 198 completed (774.637 ms) ======
====== dec-tree (apache-spark) [default], iteration 199 started ======
====== dec-tree (apache-spark) [default], iteration 199 completed (781.987 ms) ======
====== dec-tree (apache-spark) [default], iteration 200 started ======
====== dec-tree (apache-spark) [default], iteration 200 completed (765.555 ms) ======
====== dec-tree (apache-spark) [default], iteration 201 started ======
====== dec-tree (apache-spark) [default], iteration 201 completed (830.902 ms) ======
====== dec-tree (apache-spark) [default], iteration 202 started ======
====== dec-tree (apache-spark) [default], iteration 202 completed (857.757 ms) ======
====== dec-tree (apache-spark) [default], iteration 203 started ======
====== dec-tree (apache-spark) [default], iteration 203 completed (820.385 ms) ======
====== dec-tree (apache-spark) [default], iteration 204 started ======
====== dec-tree (apache-spark) [default], iteration 204 completed (790.997 ms) ======
====== dec-tree (apache-spark) [default], iteration 205 started ======
====== dec-tree (apache-spark) [default], iteration 205 completed (794.886 ms) ======
====== dec-tree (apache-spark) [default], iteration 206 started ======
====== dec-tree (apache-spark) [default], iteration 206 completed (790.378 ms) ======
====== dec-tree (apache-spark) [default], iteration 207 started ======
====== dec-tree (apache-spark) [default], iteration 207 completed (769.707 ms) ======
====== dec-tree (apache-spark) [default], iteration 208 started ======
====== dec-tree (apache-spark) [default], iteration 208 completed (778.754 ms) ======
====== dec-tree (apache-spark) [default], iteration 209 started ======
====== dec-tree (apache-spark) [default], iteration 209 completed (925.326 ms) ======
====== dec-tree (apache-spark) [default], iteration 210 started ======
====== dec-tree (apache-spark) [default], iteration 210 completed (781.579 ms) ======
====== dec-tree (apache-spark) [default], iteration 211 started ======
