benchmark;environment;measurement_count;total_duration_ms;avg_duration_ms;steady_state_start_s;steady_state_end_s;steady_state_wall_clock_span_ms;fastest_environment;fastest_avg_duration_ms;is_fastest_environment
reactors;ZGC-Java-25;29;309204.784006;10662.233931;303.197503736;612.410882474;309213.378738;;;
rx-scrabble;G1GC-Java-21;2718;291058.090868;107.085390;300.097093924;601.780611976;301683.518052;;;
rx-scrabble;G1GC-Java-25;2789;290894.894777;104.300787;300.007635275;601.740519494;301732.884219;G1GC-Java-25;104.300787;TRUE
rx-scrabble;ZGC-Java-21;2319;288710.834085;124.497988;300.061729088;601.945983018;301884.253930;;;
rx-scrabble;ZGC-Java-25;2350;288663.107972;122.835365;300.045273009;602.049545462;302004.272453;;;
scala-doku;G1GC-Java-21;116;301628.468270;2600.245416;302.243126029;603.892591303;301649.465274;;;
scala-doku;G1GC-Java-25;135;303900.431548;2251.114308;300.433946264;604.356703445;303922.757181;G1GC-Java-25;2251.114308;TRUE
scala-doku;ZGC-Java-21;102;304359.887714;2983.920468;302.472542913;606.855860307;304383.317394;;;
scala-doku;ZGC-Java-25;128;302050.840054;2359.772188;302.118123740;604.194377944;302076.254204;;;
scala-kmeans;G1GC-Java-21;1496;301052.043197;201.237997;300.075460272;601.236127540;301160.667268;G1GC-Java-21;201.237997;TRUE
scala-kmeans;G1GC-Java-25;1487;301234.064917;202.578389;300.089019812;601.424848074;301335.828262;;;
scala-kmeans;ZGC-Java-21;1264;301104.518384;238.215600;300.181264814;601.391064050;301209.799236;;;
scala-kmeans;ZGC-Java-25;1440;301242.528523;209.196200;300.182442459;601.534430282;301351.987823;;;
scala-stm-bench7;G1GC-Java-21;257;301938.152174;1174.856623;300.124147552;602.080036480;301955.888928;;;
scala-stm-bench7;G1GC-Java-25;262;301813.396593;1151.959529;300.608185748;602.439629105;301831.443357;G1GC-Java-25;1151.959529;TRUE
scala-stm-bench7;ZGC-Java-21;198;301714.187977;1523.809030;301.242523900;602.977711297;301735.187397;;;
scala-stm-bench7;ZGC-Java-25;192;302343.652112;1574.706521;300.572599417;602.936319845;302363.720428;;;
scrabble;G1GC-Java-21;996;301872.086850;303.084425;300.002768201;601.978785961;301976.017760;;;
scrabble;G1GC-Java-25;1038;301892.117287;290.840190;300.177421453;602.175846369;301998.424916;G1GC-Java-25;290.840190;TRUE
scrabble;ZGC-Java-21;758;302037.553584;398.466430;300.218853983;602.409240140;302190.386157;;;
scrabble;ZGC-Java-25;777;302287.834743;389.044832;300.146104701;602.572242847;302426.138146;;;
