>>> Starting benchmark: scrabble
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java21-2026-04-25
>>> Output dir: ZGC-java21-2026-04-25/scrabble
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
====== scrabble (functional) [default], iteration 73 completed (360.636 ms) ======
====== scrabble (functional) [default], iteration 74 started ======
====== scrabble (functional) [default], iteration 74 completed (429.608 ms) ======
====== scrabble (functional) [default], iteration 75 started ======
====== scrabble (functional) [default], iteration 75 completed (364.747 ms) ======
====== scrabble (functional) [default], iteration 76 started ======
====== scrabble (functional) [default], iteration 76 completed (375.830 ms) ======
====== scrabble (functional) [default], iteration 77 started ======
====== scrabble (functional) [default], iteration 77 completed (480.102 ms) ======
====== scrabble (functional) [default], iteration 78 started ======
====== scrabble (functional) [default], iteration 78 completed (386.227 ms) ======
====== scrabble (functional) [default], iteration 79 started ======
====== scrabble (functional) [default], iteration 79 completed (470.518 ms) ======
====== scrabble (functional) [default], iteration 80 started ======
====== scrabble (functional) [default], iteration 80 completed (369.648 ms) ======
====== scrabble (functional) [default], iteration 81 started ======
====== scrabble (functional) [default], iteration 81 completed (451.162 ms) ======
====== scrabble (functional) [default], iteration 82 started ======
====== scrabble (functional) [default], iteration 82 completed (361.308 ms) ======
====== scrabble (functional) [default], iteration 83 started ======
====== scrabble (functional) [default], iteration 83 completed (361.840 ms) ======
====== scrabble (functional) [default], iteration 84 started ======
====== scrabble (functional) [default], iteration 84 completed (448.713 ms) ======
====== scrabble (functional) [default], iteration 85 started ======
====== scrabble (functional) [default], iteration 85 completed (369.144 ms) ======
====== scrabble (functional) [default], iteration 86 started ======
====== scrabble (functional) [default], iteration 86 completed (365.288 ms) ======
====== scrabble (functional) [default], iteration 87 started ======
====== scrabble (functional) [default], iteration 87 completed (407.831 ms) ======
====== scrabble (functional) [default], iteration 88 started ======
====== scrabble (functional) [default], iteration 88 completed (410.459 ms) ======
====== scrabble (functional) [default], iteration 89 started ======
====== scrabble (functional) [default], iteration 89 completed (366.073 ms) ======
====== scrabble (functional) [default], iteration 90 started ======
====== scrabble (functional) [default], iteration 90 completed (402.336 ms) ======
====== scrabble (functional) [default], iteration 91 started ======
====== scrabble (functional) [default], iteration 91 completed (430.193 ms) ======
====== scrabble (functional) [default], iteration 92 started ======
====== scrabble (functional) [default], iteration 92 completed (371.706 ms) ======
====== scrabble (functional) [default], iteration 93 started ======
====== scrabble (functional) [default], iteration 93 completed (360.850 ms) ======
====== scrabble (functional) [default], iteration 94 started ======
====== scrabble (functional) [default], iteration 94 completed (433.610 ms) ======
