Section A: throughput summary after warmup
benchmark;environment;measurement_count_after_warmup;total_duration_ms;avg_duration_ms;fastest_environment_for_benchmark;fastest_avg_duration_ms;is_fastest_environment
chi-square;G1GC-Java-21;6;39;1906.774000;0.617298;492.470000;608.963000;1;10.307000;1;54.351000;37;1842.116000
chi-square;G1GC-Java-25;6;34;1800.417000;0.582801;528.116000;607.123000;0;0.000000;0;0.000000;34;1800.417000
chi-square;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
chi-square;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
db-shootout;G1GC-Java-21;6;39;1958.460000;0.609648;483.344000;617.722000;0;0.000000;0;0.000000;39;1958.460000
db-shootout;G1GC-Java-25;6;37;1860.941000;0.591274;500.831000;618.726000;0;0.000000;0;0.000000;37;1860.941000
db-shootout;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
db-shootout;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
dec-tree;G1GC-Java-21;6;32;2010.939000;0.649964;457.735000;607.407000;0;0.000000;0;0.000000;32;2010.939000
dec-tree;G1GC-Java-25;6;32;2064.135000;0.669298;419.011000;604.149000;0;0.000000;0;0.000000;32;2064.135000
dec-tree;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
dec-tree;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
dotty;G1GC-Java-21;6;4;989.352000;0.602012;319.955000;543.339000;0;0.000000;0;0.000000;4;989.352000
dotty;G1GC-Java-25;6;4;3087.956000;1.889113;330.102000;555.107000;0;0.000000;0;0.000000;4;3087.956000
dotty;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
dotty;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
finagle-chirper;G1GC-Java-21;6;21;1175.529000;0.386183;371.612000;605.895000;0;0.000000;0;0.000000;21;1175.529000
finagle-chirper;G1GC-Java-25;6;18;1021.972000;0.334031;430.041000;597.016000;1;8.732000;1;17.755000;16;995.485000
finagle-chirper;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
finagle-chirper;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
finagle-http;G1GC-Java-21;6;29;1480.207000;0.478671;308.440000;602.169000;1;10.452000;1;54.202000;27;1415.553000
finagle-http;G1GC-Java-25;6;26;1314.734000;0.428100;308.170000;596.970000;0;0.000000;0;0.000000;26;1314.734000
finagle-http;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
finagle-http;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
fj-kmeans;G1GC-Java-21;6;41;2041.998000;0.673089;450.113000;604.668000;0;0.000000;0;0.000000;41;2041.998000
fj-kmeans;G1GC-Java-25;6;38;1896.210000;0.626709;470.384000;602.934000;0;0.000000;0;0.000000;38;1896.210000
fj-kmeans;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
fj-kmeans;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
future-genetic;G1GC-Java-21;6;22;807.108000;0.267076;307.558000;594.780000;0;0.000000;0;0.000000;22;807.108000
future-genetic;G1GC-Java-25;6;23;932.401000;0.308005;306.220000;594.733000;0;0.000000;0;0.000000;23;932.401000
future-genetic;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
future-genetic;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
gauss-mix;G1GC-Java-21;6;26;1773.022000;0.566901;494.165000;618.300000;0;0.000000;0;0.000000;26;1773.022000
gauss-mix;G1GC-Java-25;6;23;1547.218000;0.486548;504.274000;616.369000;0;0.000000;0;0.000000;23;1547.218000
gauss-mix;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
gauss-mix;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
log-regression;G1GC-Java-21;6;28;2127.932000;0.688038;513.460000;609.023000;1;10.551000;1;60.301000;26;2057.080000
log-regression;G1GC-Java-25;6;20;1608.544000;0.519949;513.213000;606.390000;0;0.000000;0;0.000000;20;1608.544000
log-regression;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
log-regression;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
mnemonics;G1GC-Java-21;6;44;1777.231000;0.630523;399.838000;603.388000;0;0.000000;0;0.000000;44;1777.231000
mnemonics;G1GC-Java-25;6;44;1767.904000;0.630585;389.595000;606.438000;0;0.000000;0;0.000000;44;1767.904000
mnemonics;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
mnemonics;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
movie-lens;G1GC-Java-21;6;34;1963.426000;0.592903;515.312000;630.000000;0;0.000000;0;0.000000;34;1963.426000
movie-lens;G1GC-Java-25;6;32;1650.026000;0.504502;544.100000;632.194000;0;0.000000;0;0.000000;32;1650.026000
movie-lens;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
movie-lens;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
naive-bayes;G1GC-Java-21;6;37;2475.140000;0.796207;574.056000;611.237000;0;0.000000;0;0.000000;37;2475.140000
naive-bayes;G1GC-Java-25;6;37;2518.474000;0.813233;568.976000;609.833000;0;0.000000;0;0.000000;37;2518.474000
naive-bayes;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
naive-bayes;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
neo4j-analytics;G1GC-Java-21;6;42;1928.154000;0.591718;303.443000;628.611000;1;11.306000;1;52.497000;40;1864.351000
neo4j-analytics;G1GC-Java-25;6;39;1834.662000;0.551399;317.324000;627.366000;0;0.000000;0;0.000000;39;1834.662000
neo4j-analytics;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
