>>> Starting benchmark: fj-kmeans
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java25-2026-04-24
>>> Output dir: ZGC-java25-2026-04-24/fj-kmeans
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by scala.runtime.LazyVals$ (resource:/shared/scala3-library_3-3.3.4.jar)
WARNING: Please consider reporting this to the maintainers of class scala.runtime.LazyVals$
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
====== fj-kmeans (concurrency) [default], iteration 118 completed (4279.418 ms) ======
====== fj-kmeans (concurrency) [default], iteration 119 started ======
====== fj-kmeans (concurrency) [default], iteration 119 completed (4223.160 ms) ======
====== fj-kmeans (concurrency) [default], iteration 120 started ======
====== fj-kmeans (concurrency) [default], iteration 120 completed (4221.350 ms) ======
====== fj-kmeans (concurrency) [default], iteration 121 started ======
====== fj-kmeans (concurrency) [default], iteration 121 completed (4254.937 ms) ======
====== fj-kmeans (concurrency) [default], iteration 122 started ======
====== fj-kmeans (concurrency) [default], iteration 122 completed (4227.574 ms) ======
====== fj-kmeans (concurrency) [default], iteration 123 started ======
====== fj-kmeans (concurrency) [default], iteration 123 completed (4229.192 ms) ======
====== fj-kmeans (concurrency) [default], iteration 124 started ======
====== fj-kmeans (concurrency) [default], iteration 124 completed (4241.925 ms) ======
====== fj-kmeans (concurrency) [default], iteration 125 started ======
====== fj-kmeans (concurrency) [default], iteration 125 completed (4225.246 ms) ======
====== fj-kmeans (concurrency) [default], iteration 126 started ======
====== fj-kmeans (concurrency) [default], iteration 126 completed (4223.976 ms) ======
====== fj-kmeans (concurrency) [default], iteration 127 started ======
====== fj-kmeans (concurrency) [default], iteration 127 completed (4261.296 ms) ======
====== fj-kmeans (concurrency) [default], iteration 128 started ======
====== fj-kmeans (concurrency) [default], iteration 128 completed (4248.421 ms) ======
====== fj-kmeans (concurrency) [default], iteration 129 started ======
====== fj-kmeans (concurrency) [default], iteration 129 completed (4219.746 ms) ======
====== fj-kmeans (concurrency) [default], iteration 130 started ======
====== fj-kmeans (concurrency) [default], iteration 130 completed (4244.663 ms) ======
====== fj-kmeans (concurrency) [default], iteration 131 started ======
====== fj-kmeans (concurrency) [default], iteration 131 completed (4219.126 ms) ======
====== fj-kmeans (concurrency) [default], iteration 132 started ======
====== fj-kmeans (concurrency) [default], iteration 132 completed (4214.420 ms) ======
====== fj-kmeans (concurrency) [default], iteration 133 started ======
====== fj-kmeans (concurrency) [default], iteration 133 completed (4245.999 ms) ======
====== fj-kmeans (concurrency) [default], iteration 134 started ======
====== fj-kmeans (concurrency) [default], iteration 134 completed (4218.047 ms) ======
====== fj-kmeans (concurrency) [default], iteration 135 started ======
====== fj-kmeans (concurrency) [default], iteration 135 completed (4278.353 ms) ======
====== fj-kmeans (concurrency) [default], iteration 136 started ======
====== fj-kmeans (concurrency) [default], iteration 136 completed (4215.609 ms) ======
====== fj-kmeans (concurrency) [default], iteration 137 started ======
====== fj-kmeans (concurrency) [default], iteration 137 completed (4248.696 ms) ======
====== fj-kmeans (concurrency) [default], iteration 138 started ======
====== fj-kmeans (concurrency) [default], iteration 138 completed (4227.702 ms) ======
====== fj-kmeans (concurrency) [default], iteration 139 started ======
====== fj-kmeans (concurrency) [default], iteration 139 completed (4218.663 ms) ======
====== fj-kmeans (concurrency) [default], iteration 140 started ======
====== fj-kmeans (concurrency) [default], iteration 140 completed (4235.785 ms) ======
====== fj-kmeans (concurrency) [default], iteration 141 started ======
====== fj-kmeans (concurrency) [default], iteration 141 completed (4219.338 ms) ======
OK: benchmark finished successfully
CSV : ZGC-java25-2026-04-24/fj-kmeans/fj-kmeans.csv
JSON: ZGC-java25-2026-04-24/fj-kmeans/fj-kmeans.json
GC  : ZGC-java25-2026-04-24/fj-kmeans/fj-kmeans.gc.log
